timestamp,altitude_m,heading,climb_rate
23:00:55,19.998,353.09,0.0
23:00:55,19.998,353.09,0.0
23:00:55,19.998,353.09,0.0
23:00:55,19.998,353.09,0.0
23:00:55,19.998,353.09,0.0
23:00:55,19.998,353.08,0.0
23:00:55,19.998,353.08,0.0
23:00:55,19.997,353.07,0.0
23:00:55,19.997,353.07,0.0
23:00:55,19.998,353.08,0.0
23:00:55,19.998,353.09,0.0
23:00:55,19.998,353.09,0.0
23:00:56,19.998,353.09,0.0
23:00:56,19.998,353.09,0.0
23:00:56,19.998,353.09,0.0
23:00:56,19.998,353.1,0.0
23:00:57,19.998,353.09,0.0
23:00:57,19.998,353.09,0.0
23:00:57,19.998,353.09,0.0
23:00:57,19.998,353.08,0.0
23:00:58,19.998,353.08,0.0
23:00:58,19.998,353.08,0.0
23:00:58,19.998,353.08,0.0
23:00:58,19.998,353.08,0.0
23:00:59,19.998,353.08,0.0
23:00:59,19.998,353.08,0.0
23:00:59,19.998,353.08,0.0
23:00:59,19.999,353.09,0.0
23:01:00,19.999,353.09,0.0
23:01:00,19.998,353.08,0.0
23:01:00,19.998,353.09,0.0
23:01:00,19.998,353.09,0.0
23:01:01,19.998,353.09,0.0
23:01:01,19.998,353.08,0.0
23:01:01,19.997,353.08,0.0
23:01:01,19.997,353.08,0.0
23:01:02,19.997,353.08,0.0
23:01:02,19.998,353.08,0.0
23:01:02,19.998,353.07,0.0
23:01:02,19.998,353.07,0.0
