timestamp,altitude_m,heading,climb_rate
23:00:20,20.0,352.72,0.0
23:00:20,19.999,352.72,0.0
23:00:20,19.999,352.72,0.0
23:00:20,19.999,352.72,0.0
23:00:20,19.999,352.72,0.0
23:00:20,19.999,352.71,0.0
23:00:20,19.999,352.71,0.0
23:00:20,19.999,352.72,0.0
23:00:20,19.999,352.77,0.0
23:00:20,19.991,353.01,0.0
23:00:20,19.99,353.01,0.0
23:00:21,19.989,353.02,0.0
23:00:21,19.989,353.01,0.0
23:00:21,19.989,353.02,0.0
23:00:21,19.989,353.02,0.0
23:00:22,19.989,353.03,0.0
23:00:22,19.989,353.03,0.0
23:00:22,19.989,353.04,0.0
