timestamp,altitude_m,heading,climb_rate
23:00:07,-0.006,355.06,0.0
23:00:07,-0.006,355.05,0.0
23:00:07,-0.006,355.04,0.0
23:00:07,-0.006,355.03,0.0
23:00:07,-0.006,355.02,0.0
23:00:07,-0.006,355.01,0.0
23:00:07,19.99,352.73,-0.01
23:00:07,19.993,352.72,-0.01
23:00:07,19.999,352.7,0.0
23:00:07,19.999,352.7,0.0
23:00:07,19.999,352.7,0.0
23:00:08,19.999,352.7,0.0
23:00:08,19.999,352.7,0.0
23:00:08,19.999,352.7,0.0
23:00:08,19.999,352.7,0.0
23:00:09,19.999,352.7,0.0
23:00:09,19.999,352.71,0.0
23:00:09,20.0,352.71,0.0
23:00:09,20.0,352.72,0.0
23:00:10,20.0,352.73,0.0
23:00:10,20.0,352.73,0.0
23:00:10,20.0,352.72,0.0
23:00:10,20.0,352.71,0.0
23:00:11,20.0,352.71,0.0
23:00:11,20.0,352.71,0.0
23:00:11,20.0,352.72,0.0
23:00:11,20.0,352.72,0.0
23:00:12,20.0,352.72,0.0
