timestamp,altitude_m,heading,climb_rate
23:29:07,-0.001,356.2,0.0
23:29:07,-0.001,356.17,0.0
23:29:07,-0.001,356.15,0.0
23:29:07,-0.001,356.13,0.0
23:29:07,-0.001,356.11,0.0
23:29:07,-0.002,356.09,0.0
23:29:07,-0.002,356.07,0.0
23:29:08,19.975,352.96,-0.02
23:29:08,19.974,352.97,-0.02
23:29:08,19.974,352.97,-0.02
23:29:08,19.976,352.97,-0.02
23:29:09,19.979,352.97,-0.02
23:29:09,19.983,352.97,-0.01
23:29:09,19.985,352.97,-0.01
23:29:11,19.988,352.97,-0.01
23:29:12,19.988,352.96,-0.01
